reef_name,region_lat,sector,start_year,event_year,target_year,end_year,nadir_year,final_year,gap_years,time_gap_years,sequence_type,sequence_type_primary,seq_category_main,seq_category,start_event_type,target_event_type,start_disturbance_type,target_disturbance_type,baseline_start_year,baseline_end_year,baseline_survey_n,baseline_hc,baseline_juv,baseline_algae,nadir_hc,nadir_juv,nadir_algae,final_hc,final_juv,final_algae,rel_loss,recovery_rate,recovery_pct,cots_lag_3yr,initial_cots,initial_herbivore,start_max_wind,start_max_dhw,target_max_wind,target_max_dhw,storm_exposure_seq,heat_exposure_seq,drop_abs,impact_flag,recovery_gain_abs,recovery_observed_flag,recovery_frac_loss,recovered_flag,fate_status,disturbance_group,baseline_hc_median,baseline_hc_group,baseline_hc_c
Davies_Reef,-18.81416666666667,Central,2022,2022,2025.0,2025,2025,,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Moderate),2017,2019,2,33.270831845440355,28.780424833301847,3.1884583580573587,38.663553358075504,24.383268230038983,4.920994895000483,,,,-0.16208556304474248,,,0.006666666666666667,0.0,44.49932279301322,0.0,5.2,0.0,4.71,0.0,9.91,-5.392721512635148,0,,0,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,9.394016531884063
Davies_Reef,-18.81416666666667,Central,2024,2024,2024.0,2024,2024,,0.0,0.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Sequential S->H (Same Year),Sequential S->H (Same Year),2019,2022,3,38.32813880602567,32.26377937029526,3.295228946058249,37.672240597051896,26.93216064472957,6.250995662226109,,,,0.01711270699297975,,,0.0,0.0,54.2243664780485,23.818572,0.0,0.0,4.23,23.818572,4.23,0.6558982089737739,0,,0,,,non_impact,Storm-linked,21.631033898414216,High baseline HC,14.451323492469378
Dip_Reef,-18.409444444444443,Central,2017,2017,,2019,2019,2023.0,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2013,2015,2,11.05400479601073,14.58277881952727,2.9441858981923783,16.498326198111997,13.644608570302283,4.82614600383654,24.881660603722644,10.7921386003068,3.8352232379672335,-0.492520267773546,2.0958336014026617,0.7583979345328402,0.0,0.0,92.6524984462193,0.0,6.8,0.0,0.0,0.0,6.8,-5.4443214021012665,0,8.383334405610647,1,,,non_impact,Heat-linked,21.631033898414216,Low baseline HC,-12.822810517545562
Dip_Reef,-18.409444444444443,Central,2022,2022,2025.0,2025,2025,,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Moderate),2017,2019,2,17.143660433052112,18.023011380780382,4.035033308452796,25.267763889063065,13.299945480066732,3.670484138620044,,,,-0.47388382940367224,,,0.0,0.0,91.55429781356024,0.0,5.6000000000000005,0.0,6.47,0.0,12.07,-8.124103456010953,0,,0,,,non_impact,Heat-linked,21.631033898414216,Low baseline HC,-6.7331548805041805
Dip_Reef,-18.409444444444443,Central,2024,2024,2024.0,2024,2024,,0.0,0.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Sequential S->H (Same Year),Sequential S->H (Same Year),2019,2022,3,23.95940837489664,19.579130160605164,4.384824708969898,23.97362841517808,9.24279443839655,4.248138202421319,,,,-0.0005935054847322226,,,0.0,0.0,109.33492995653371,23.818572,0.0,0.0,7.65,23.818572,7.65,-0.014220040281440305,0,,0,,,non_impact,Storm-linked,21.631033898414216,High baseline HC,0.08259306134034716
East_Cay,-21.48305555555556,South,2024,2024,,2025,2025,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2019,2022,3,22.19554320636695,23.94935435601252,2.762885871706157,14.554197554158632,22.87666888750333,5.620003942380957,,,,0.34427387431618894,,,0.43999999999999995,0.0,88.51463026989096,0.0,7.67,0.0,0.0,0.0,7.67,7.641345652208317,1,,0,,,recovery_unobserved,Heat-linked,21.631033898414216,High baseline HC,-1.6812721071893435
Erskine_Island,-23.5025,South,2020,2020,2024.0,2026,2026,,4.0,4.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Severe),Isolated Heatwave (Severe),2016,2018,2,29.102437360784165,9.829480731088292,0.7707722989871395,26.914870917548605,,,,,,0.07516780866551503,,,0.0,0.0,28.572537957650976,0.0,8.85,0.0,11.17,0.0,20.02,2.1875664432355606,0,,0,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,5.225622047227873
Fairfax_Island,-23.852500000000003,South,2024,2024,,2026,2026,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Severe),,2020,2022,3,39.14744127930083,25.465659429596208,3.0194290473340195,21.25366968687083,,,,,,0.4570866193978127,,,0.016666666666666666,0.0,113.54992128937036,0.0,11.26,0.0,0.0,0.0,11.26,17.89377159243,1,,0,,,recovery_unobserved,Heat-linked,21.631033898414216,High baseline HC,15.270625965744536
Farquharson_Reef,-17.795,Central,2011,2011,,2012,2012,2016.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,2006,2008,2,5.211913864003509,6.278249497196657,19.086420073410316,7.290191801512693,8.894781697249888,4.674818976870521,28.42467103155285,13.591853359776694,7.388703178131087,-0.398755234974809,5.283619807510039,4.055032331982133,0.0,0.0,,41.000868,1.05,0.0,0.0,41.000868,1.05,-2.078277937509184,0,21.134479230040156,1,,,non_impact,Storm-linked,21.631033898414216,Low baseline HC,-18.664901449552783
Farquharson_Reef,-17.795,Central,2020,2020,2022.0,2022,2022,2025.0,2.0,2.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Moderate),2016,2018,2,17.785903040527757,10.933811873562043,8.351027055207979,6.919649836024086,8.982783836258944,20.20434061675485,9.127442620272356,8.414494042259063,22.629584133386075,0.6109475116187995,0.7359309280827567,0.12413161025433989,2.7566666666666664,0.0,,0.0,5.91,0.0,5.1000000000000005,0.0,11.010000000000002,10.866253204503671,1,2.2077927842482703,1,0.20317884579877263,0.0,failed,Heat-linked,21.631033898414216,Low baseline HC,-6.090912273028536
