scenario_group,scenario_name,metric_group,metric_name,seq_category,value,ci_lo,ci_hi
window,window_1_4,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.45205606353474714,-0.9512161054148158,0.04710397834532154
window,window_1_4,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,-0.12490198478091147,-0.7556059292180535,0.5058019596562304
window,window_1_4,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,-0.11885296238685665,-0.7029253312671543,0.465219406493441
window,window_1_4,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.5976040821658583,-1.5125922766772475,0.3173841123455311
window,window_1_5,sample,retained_sequences,,118.0,,
window,window_1_5,sample,retained_reefs,,66.0,,
window,window_1_5,hierarchy,count,Isolated_Storm,33.0,,
window,window_1_5,hierarchy,mean_rel_loss,Isolated_Storm,0.16401674823155857,,
window,window_1_5,hierarchy,rank,Isolated_Storm,3.0,,
window,window_1_5,hierarchy,count,Isolated_Heatwave,8.0,,
window,window_1_5,hierarchy,mean_rel_loss,Isolated_Heatwave,-0.09351424809806487,,
window,window_1_5,hierarchy,rank,Isolated_Heatwave,5.0,,
window,window_1_5,hierarchy,count,Concurrent,,,
window,window_1_5,hierarchy,mean_rel_loss,Concurrent,,,
window,window_1_5,hierarchy,rank,Concurrent,,,
window,window_1_5,hierarchy,count,S_to_H,17.0,,
window,window_1_5,hierarchy,mean_rel_loss,S_to_H,0.22566234461294582,,
window,window_1_5,hierarchy,rank,S_to_H,1.0,,
window,window_1_5,hierarchy,count,S_to_S,21.0,,
window,window_1_5,hierarchy,mean_rel_loss,S_to_S,0.19790481631184276,,
window,window_1_5,hierarchy,rank,S_to_S,2.0,,
window,window_1_5,hierarchy,count,H_to_H,39.0,,
window,window_1_5,hierarchy,mean_rel_loss,H_to_H,0.1257638585665352,,
window,window_1_5,hierarchy,rank,H_to_H,4.0,,
window,window_1_5,hierarchy,count,H_to_S,,,
window,window_1_5,hierarchy,mean_rel_loss,H_to_S,,,
window,window_1_5,hierarchy,rank,H_to_S,,,
window,window_1_5,contrast,S_to_H_minus_Isolated_Heatwave,,0.3191765927110107,,
window,window_1_5,contrast,S_to_H_minus_H_to_H,,0.0998984860464106,,
window,window_1_5,model_status,model_ran,,1.0,,
window,window_1_5,sample,model_events,,118.0,,
window,window_1_5,sample,model_reefs,,66.0,,
