data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,reefpage_category,shelf,mean,count_group,series,source_file
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,2.021480121775664,1.2551668468542028,2.8444746666711445,LTMP,9,_,Unidentified, ,2.0535896792944897,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,15.72969552753991,12.75544532267649,19.211386215589883,LTMP,9,_,Xeniidae, ,15.78404774928732,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,4.919457679435267,2.8508540453284192,6.842601614512034,LTMP,9,_,Unidentified, ,4.958965410057726,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,0.0,0.0,0.0,LTMP,9,_,Nephtheidae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,0.4027594974868889,0.1139955411051949,0.9038293867872236,LTMP,9,_,Sclerophytum, ,0.4523541225173041,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,1.5969972314315637,0.9204667858945056,2.5283259311627218,LTMP,9,_,Other, ,1.6541637613958653,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,0.4485791059973066,0.1078601006617039,1.0235711441639126,LTMP,9,_,Lobophytum, ,0.5122040527307756,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,SOFT CORAL,0.1401501170286729,0.0157731874383111,0.4736532915338439,LTMP,9,_,Briareum, ,0.17859942633127,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,MACROALGAE,0.0704133381399458,0.0086165008591678,0.216673855315767,LTMP,9,_,Red Macroalgae, ,0.0893962676452521,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,MACROALGAE,0.929343612375192,0.597388421623512,1.295061897129354,LTMP,9,_,Unidentified Macroalgae, ,0.9504053659969112,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,MACROALGAE,0.0,0.0,0.0,LTMP,9,_,Green Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,MACROALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,ALGAE,23.8442289721508,21.929801144348925,25.6196961762509,LTMP,9,_,Coralline algae, ,23.847132517567548,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,ALGAE,16.783289527793833,15.427090616177605,18.4288330691664,LTMP,9,_,Turf algae, ,16.82071826067095,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,ALGAE,0.7506194922363469,0.4535363033533903,1.099625956597635,LTMP,9,_,Red Macroalgae, ,0.7703310174659483,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,ALGAE,0.3082471853995944,0.1599235908839444,0.5516154943426321,LTMP,9,_,Unidentified Macroalgae, ,0.321784512123999,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,ALGAE,0.0,0.0,0.0,LTMP,9,_,Green Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,ALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1997,1997.07397260274,HARD CORAL,10.362803992965492,8.813447622071186,12.266530861668844,LTMP,9,_,Acropora, ,10.403040445131504,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
