reef_name,year,max_dhw,dhw_peak_date,min_dist,max_wind_ms,storm_name,storm_peak_date,has_storm,has_heatwave
Border_Island,2006,0.0,2005.498288843258,,0.0,,,0,0
Border_Island,2007,0.0,2006.498288843258,,0.0,,,0,0
Border_Island,2008,0.0,2007.498288843258,,0.0,,,0,0
Border_Island,2009,0.0,2008.501026694045,,0.0,,,0,0
Border_Island,2010,1.46,2010.1834360027378,0.5583808989926194,29.117304,ULUI,2010.2162902121834,1,0
Border_Island,2011,0.0,2010.498288843258,46.32453422784336,18.173901687285582,ANTHONY,2011.082135523614,1,0
Border_Island,2012,1.91,2012.1806981519508,,0.0,,,0,0
Border_Island,2013,0.6,2013.0958247775495,,0.0,,,0,0
Border_Island,2014,0.0,2013.498288843258,,0.0,,,0,0
Border_Island,2015,1.76,2015.1779603011637,,0.0,,,0,0
Border_Island,2016,3.22,2016.167008898015,,0.0,,,0,0
Border_Island,2017,6.71,2017.2245037645448,38.555067619404994,29.117304,DEBBIE,2017.2381930184804,1,1
Border_Island,2018,0.0,2017.498288843258,,0.0,,,0,0
Border_Island,2019,0.0,2018.498288843258,,0.0,,,0,0
Border_Island,2020,7.66,2020.1998631074607,17.41537127982197,38.377224,HAROLD,2020.2710472279261,1,1
Border_Island,2021,0.0,2020.501026694045,,0.0,,,0,0
Border_Island,2022,4.51,2022.208076659822,,0.0,,,0,1
Border_Island,2023,0.45,2023.208076659822,,0.0,,,0,0
Border_Island,2024,6.890000000000001,2024.1752224503764,,0.0,,,0,1
Border_Island,2025,3.79,2025.0958247775495,,0.0,,,0,0
Boult_Reef,1985,0.0,,,0.0,,,0,0
Boult_Reef,1986,0.0,,,0.0,,,0,0
Boult_Reef,1987,0.0,,,0.0,,,0,0
Boult_Reef,1988,0.0,,,0.0,,,0,0
Boult_Reef,1989,0.0,,,0.0,,,0,0
Boult_Reef,1990,0.31,1990.1204654346338,,0.0,,,0,0
Boult_Reef,1991,0.91,1991.1204654346338,,0.0,,,0,0
Boult_Reef,1992,2.47,1992.1533196440794,,0.0,,,0,0
Boult_Reef,1993,0.0,1992.501026694045,,0.0,,,0,0
Boult_Reef,1994,0.0,,46.60973012803427,28.459647214180343,REWA,1994.0054757015744,1,0
Boult_Reef,1995,0.0,,,0.0,,,0,0
Boult_Reef,1996,1.44,1996.1177275838468,,0.0,,,0,0
Boult_Reef,1997,0.19,1997.1286789869953,,0.0,,,0,0
Boult_Reef,1998,4.74,1998.1587953456537,,0.0,,,0,1
Boult_Reef,1999,0.0,1998.498288843258,,0.0,,,0,0
Boult_Reef,2000,0.0,,,0.0,,,0,0
Boult_Reef,2001,0.0,,,0.0,,,0,0
Boult_Reef,2002,6.13,2002.1943874058863,,0.0,,,0,1
Boult_Reef,2003,0.0,2002.498288843258,,0.0,,,0,0
Boult_Reef,2004,3.82,2004.1697467488023,,0.0,,,0,0
Boult_Reef,2005,0.0,2004.501026694045,,0.0,,,0,0
Boult_Reef,2006,1.71,2006.062970568104,,0.0,,,0,0
Boult_Reef,2007,0.0,2006.498288843258,,0.0,,,0,0
Boult_Reef,2008,0.0,2007.498288843258,,0.0,,,0,0
Boult_Reef,2009,0.0,2008.501026694045,,0.0,,,0,0
Boult_Reef,2010,0.81,2010.1533196440794,,0.0,,,0,0
Boult_Reef,2011,0.44,2011.1724845995893,,0.0,,,0,0
Boult_Reef,2012,0.15,2012.145106091718,,0.0,,,0,0
Boult_Reef,2013,0.15,2013.0793976728269,,0.0,,,0,0
Boult_Reef,2014,0.0,2013.498288843258,,0.0,,,0,0
Boult_Reef,2015,1.13,2015.0903490759754,,0.0,,,0,0
Boult_Reef,2016,0.3,2016.1368925393565,,0.0,,,0,0
Boult_Reef,2017,4.04,2017.2217659137577,,0.0,,,0,1
Boult_Reef,2018,0.0,2017.498288843258,,0.0,,,0,0
Boult_Reef,2019,0.0,2018.498288843258,,0.0,,,0,0
Boult_Reef,2020,3.69,2020.1889117043122,,0.0,,,0,0
Boult_Reef,2021,0.0,2020.501026694045,,0.0,,,0,0
Boult_Reef,2022,0.5,2022.0930869267625,,0.0,,,0,0
Boult_Reef,2023,1.06,2023.104038329911,,0.0,,,0,0
Boult_Reef,2024,11.48,2024.186173853525,,0.0,,,0,1
Boult_Reef,2025,0.0,2024.501026694045,,0.0,,,0,0
Broomfield_Reef,1985,0.0,,,0.0,,,0,0
Broomfield_Reef,1986,0.0,,,0.0,,,0,0
Broomfield_Reef,1987,0.0,,,0.0,,,0,0
Broomfield_Reef,1988,0.0,,,0.0,,,0,0
Broomfield_Reef,1989,0.0,,,0.0,,,0,0
Broomfield_Reef,1990,0.17,1990.1177275838468,,0.0,,,0,0
Broomfield_Reef,1991,1.12,1991.1204654346338,,0.0,,,0,0
Broomfield_Reef,1992,2.13,1992.1587953456537,9.944127415350382,18.519840000000002,FRAN,1992.2053388090349,1,0
Broomfield_Reef,1993,0.0,1992.501026694045,,0.0,,,0,0
Broomfield_Reef,1994,0.0,1993.498288843258,81.62350123594618,19.772400638763603,REWA,1994.0054757015744,1,0
Broomfield_Reef,1995,0.0,1994.498288843258,,0.0,,,0,0
Broomfield_Reef,1996,1.28,1996.1204654346338,,0.0,,,0,0
Broomfield_Reef,1997,0.0,1996.501026694045,,0.0,,,0,0
Broomfield_Reef,1998,3.58,1998.1533196440794,,0.0,,,0,0
Broomfield_Reef,1999,0.0,1998.498288843258,,0.0,,,0,0
Broomfield_Reef,2000,0.0,1999.498288843258,,0.0,,,0,0
Broomfield_Reef,2001,0.0,2000.501026694045,,0.0,,,0,0
Broomfield_Reef,2002,3.22,2002.1943874058863,,0.0,,,0,0
Broomfield_Reef,2003,0.0,2002.498288843258,,0.0,,,0,0
Broomfield_Reef,2004,2.46,2004.1642710472279,,0.0,,,0,0
Broomfield_Reef,2005,0.0,2004.501026694045,,0.0,,,0,0
Broomfield_Reef,2006,3.74,2006.145106091718,,0.0,,,0,0
Broomfield_Reef,2007,0.0,2006.498288843258,,0.0,,,0,0
Broomfield_Reef,2008,0.0,2007.498288843258,,0.0,,,0,0
Broomfield_Reef,2009,0.0,2008.501026694045,,0.0,,,0,0
Broomfield_Reef,2010,0.32,2010.1505817932923,,0.0,,,0,0
Broomfield_Reef,2011,0.0,2010.498288843258,,0.0,,,0,0
Broomfield_Reef,2012,0.0,2011.498288843258,,0.0,,,0,0
Broomfield_Reef,2013,0.0,2012.501026694045,,0.0,,,0,0
Broomfield_Reef,2014,0.0,2013.498288843258,,0.0,,,0,0
Broomfield_Reef,2015,1.03,2015.0903490759754,,0.0,,,0,0
