reef_name,year,storm_track_id,storm_id,storm_name,storm_track_key_type,max_wind_ms,min_dist_km,buff_limit_km,rmax_default_km,decay_exponent,physical_threshold_ms
Fitzroy_Island,2011,AU201011_14U,AU201011_14U,YASI,DISTURBANCE_ID,21.851255536541192,98.82306801047231,100,45.0,0.8,17.5
Fore_and_Aft_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,23.94130652172993,50.950683656459574,100,45.0,0.8,17.5
Fore_and_Aft_Reef,2011,AU201011_14U,AU201011_14U,YASI,DISTURBANCE_ID,23.014637510584315,92.6186942036421,100,45.0,0.8,17.5
Fore_and_Aft_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,30.187835979791867,60.74555201359435,100,45.0,0.8,17.5
Fore_and_Aft_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.657380407400023,45.38359007562209,100,45.0,0.8,17.5
Fork_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,22.481028000000002,36.722235017243264,100,45.0,0.8,17.5
Fork_Reef,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,33.461362281413145,58.01286380581118,100,45.0,0.8,17.5
Fork_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,29.975706005370753,100,45.0,0.8,17.5
Fork_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,36.51172104748385,47.892121893105276,100,45.0,0.8,17.5
Fork_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,8.680773009070938,100,45.0,0.8,17.5
Fork_Reef,2026,AU202526_12U,AU202526_12U,KOJI,DISTURBANCE_ID,19.857384,28.928432052042567,100,45.0,0.8,17.5
Frankland_Islands,1986,AU198586_06U,AU198586_06U,WINIFRED,DISTURBANCE_ID,31.740948000000003,42.90996720816937,100,45.0,0.8,17.5
Frankland_Islands,1990,AU198990_02U,AU198990_02U,FELICITY,DISTURBANCE_ID,22.481028000000002,5.124187529298061,100,45.0,0.8,17.5
Frankland_Islands,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,37.039680000000004,39.30779995309308,100,45.0,0.8,17.5
Frankland_Islands,2010,AU200910_07U,AU200910_07U,OLGA,DISTURBANCE_ID,18.519840000000002,37.26544646955608,100,45.0,0.8,17.5
Frankland_Islands,2011,AU201011_14U,AU201011_14U,YASI,DISTURBANCE_ID,29.31877865804532,68.43393043249627,100,45.0,0.8,17.5
Gannet_Cay,1984,AU198384_22U,AU198384_22U,LANCE,DISTURBANCE_ID,18.519840000000002,42.03148805978855,100,45.0,0.8,17.5
Gannet_Cay,1992,AU199192_08U,AU199192_08U,FRAN,DISTURBANCE_ID,22.481028000000002,21.616961328993334,100,45.0,0.8,17.5
Gannet_Cay,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,29.117304,42.45428120841645,100,45.0,0.8,17.5
Gannet_Cay,2009,AU200809_17U,AU200809_17U,HAMISH,DISTURBANCE_ID,42.338412,2.6391762572765582,100,45.0,0.8,17.5
Green_Island,1986,AU198586_06U,AU198586_06U,WINIFRED,DISTURBANCE_ID,17.738253777187072,93.13197240787855,100,45.0,0.8,17.5
Green_Island,1990,AU198990_02U,AU198990_02U,FELICITY,DISTURBANCE_ID,19.051087112456987,55.34558959676552,100,45.0,0.8,17.5
Green_Island,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,25.003073016568692,73.54528069001012,100,45.0,0.8,17.5
Green_Island,2010,AU200910_07U,AU200910_07U,OLGA,DISTURBANCE_ID,18.519840000000002,38.86414738648978,100,45.0,0.8,17.5
Grub_Reef_18_077,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,22.6711694553349,61.526053793765385,100,45.0,0.8,17.5
Grub_Reef_18_077,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,29.201789818976092,68.77680373515561,100,45.0,0.8,17.5
Grub_Reef_18_077,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,14.629382942679248,100,45.0,0.8,17.5
Grub_Reef_18_077,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,38.377224,43.893889113700006,100,45.0,0.8,17.5
Grub_Reef_18_077,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,11.808086639411762,100,45.0,0.8,17.5
Grub_Reef_18_077,2026,AU202526_12U,AU202526_12U,KOJI,DISTURBANCE_ID,19.857384,42.94990169499756,100,45.0,0.8,17.5
Hastings_Reef,1999,AU199899_09U,AU199899_09U,RONA,DISTURBANCE_ID,19.857384,29.654542501696262,100,45.0,0.8,17.5
Hastings_Reef,2010,AU200910_07U,AU200910_07U,OLGA,DISTURBANCE_ID,18.519840000000002,41.37321699055552,100,45.0,0.8,17.5
Havannah_Island,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,26.442216,6.672313348265978,100,45.0,0.8,17.5
Havannah_Island,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,38.377224,23.32666683935408,100,45.0,0.8,17.5
Havannah_Island,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,35.509479970527096,100,45.0,0.8,17.5
Hayman_Island,1996,AU199596_07U,AU199596_07U,CELESTE,DISTURBANCE_ID,18.519840000000002,30.9571482521629,100,45.0,0.8,17.5
Hayman_Island,2003,AU200203_05U,AU200203_05U,ERICA,DISTURBANCE_ID,23.552195111123133,58.66272414710762,100,45.0,0.8,17.5
Hayman_Island,2010,AU200910_09U,AU200910_09U,ULUI,DISTURBANCE_ID,29.117304,15.103524166784808,100,45.0,0.8,17.5
